"Reference","Value","Internal Part Number","PValue","Populated"
"C1","1-0000018","1-0000018","1uF","1"
"C2","1-0000018","1-0000018","1uF","1"
"C3","1-0000018","1-0000018","1uF","1"
"D1","1-0001603","1-0001603","Red","1"
"D2","1-0001603","1-0001603","Red","1"
"J1","NP_Conn_01x02_Relief","0-0000000","NP_Conn_01x02","0"
"PCB1","barepcb","3-0000246","Bare PCB","1"
"R1","1-0000174","1-0000174","100k","1"
"R2","1-0000174","1-0000174","100k","1"
"R3","1-0000174","1-0000174","100k","1"
"R4","1-0000010","1-0000010","10k","1"
"R5","1-0000079","1-0000079","110k","1"
"R6","1-0000010","1-0000010","10k","1"
"R7","1-0000010","1-0000010","10k","1"
"R8","1-0000008","1-0000008","150","1"
"R9","1-0000008","1-0000008","150","1"
"R10","1-0000010","1-0000010","10k","1"
"R11","1-0000010","1-0000010","10k","1"
"TP1","TestPoint","0-0000000","","0"
"TP2","TestPoint","0-0000000","","0"
"TP3","TestPoint","0-0000000","","0"
"TP4","TestPoint","0-0000000","","0"
"TP5","TestPoint","0-0000000","","0"
"U1","1-0001650","1-0001650","TL972IP","1"
"U2","1-0001650","1-0001650","TL972IP","1"
"U3","1-0001650","1-0001650","TL972IP","1"
